# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 618834 p4 p8 300 N 
58.0000 M2 977273 p1 p0 300 N 
84.0000 M3 968122 p3 p1 300 N 
112.0000 M4 523257 p9 p1 300 N 
144.0000 M5 874671 p4 p1 300 N 
170.0000 M6 661032 p3 p5 300 N 
203.0000 M7 612010 p1 p3 300 N 
233.0000 M8 913877 p7 p3 300 N 
265.0000 M9 587686 p1 p3 300 N 
291.0000 M10 863541 p0 p3 300 N 
320.0000 M11 562047 p0 p3 300 N 
345.0000 M12 854239 p7 p6 300 N 
371.0000 M13 774311 p8 p7 300 N 
397.0000 M14 530271 p1 p4 300 N 
424.0000 M15 754268 p1 p7 300 N 
454.0000 M16 527969 p9 p6 300 N 
481.0000 M17 848700 p3 p7 300 N 
506.0000 M18 508959 p5 p2 300 N 
534.0000 M19 884570 p6 p0 300 N 
559.0000 M20 885202 p1 p3 300 N 
589.0000 M21 707936 p3 p1 300 N 
616.0000 M22 684104 p3 p0 300 N 
641.0000 M23 964884 p4 p0 300 N 
668.0000 M24 665997 p6 p9 300 N 
702.0000 M25 864342 p6 p1 300 N 
730.0000 M26 600773 p0 p9 300 N 
759.0000 M27 622078 p7 p8 300 N 
787.0000 M28 672749 p9 p0 300 N 
812.0000 M29 888064 p5 p3 300 N 
841.0000 M30 896607 p3 p5 300 N 
875.0000 M31 653097 p5 p1 300 N 
902.0000 M32 921516 p8 p0 300 N 
931.0000 M33 936576 p5 p1 300 N 
956.0000 M34 726913 p6 p2 300 N 
982.0000 M35 529000 p1 p2 300 N 
1011.0000 M36 858992 p1 p7 300 N 
1042.0000 M37 778216 p8 p4 300 N 
1067.0000 M38 916892 p5 p8 300 N 
1100.0000 M39 683464 p5 p1 300 N 
1126.0000 M40 618421 p7 p6 300 N 
1159.0000 M41 889225 p8 p6 300 N 
1191.0000 M42 596711 p2 p9 300 N 
1223.0000 M43 568074 p6 p7 300 N 
1255.0000 M44 506581 p7 p0 300 N 
1288.0000 M45 636051 p7 p9 300 N 
1321.0000 M46 734776 p0 p2 300 N 
1347.0000 M47 884863 p7 p8 300 N 
1375.0000 M48 955987 p0 p9 300 N 
1408.0000 M49 976458 p3 p6 300 N 
1438.0000 M50 797770 p0 p3 300 N 
1470.0000 M51 891919 p4 p6 300 N 
1496.0000 M52 883685 p7 p6 300 N 
1527.0000 M53 953264 p7 p9 300 N 
1556.0000 M54 928171 p7 p0 300 N 
1587.0000 M55 782957 p2 p8 300 N 
1617.0000 M56 601479 p8 p6 300 N 
1649.0000 M57 837610 p7 p6 300 N 
1679.0000 M58 562758 p4 p0 300 N 
1711.0000 M59 686270 p9 p8 300 N 
1736.0000 M60 586604 p9 p1 300 N 
1769.0000 M61 874890 p4 p8 300 N 
1803.0000 M62 679024 p2 p0 300 N 
1832.0000 M63 628836 p2 p7 300 N 
1861.0000 M64 762094 p7 p1 300 N 
1886.0000 M65 721262 p9 p0 300 N 
1913.0000 M66 724219 p3 p7 300 N 
1941.0000 M67 683537 p4 p9 300 N 
1970.0000 M68 716388 p9 p4 300 N 
1999.0000 M69 673483 p3 p0 300 N 
2027.0000 M70 871415 p3 p6 300 N 
2052.0000 M71 736881 p1 p7 300 N 
2083.0000 M72 632900 p5 p0 300 N 
2116.0000 M73 886747 p8 p6 300 N 
2147.0000 M74 511671 p7 p3 300 N 
2175.0000 M75 953285 p0 p9 300 N 
2207.0000 M76 917477 p9 p5 300 N 
2240.0000 M77 731176 p0 p2 300 N 
2273.0000 M78 987978 p8 p3 300 N 
2305.0000 M79 985912 p5 p7 300 N 
2332.0000 M80 619743 p6 p5 300 N 
2357.0000 M81 745447 p4 p5 300 N 
2388.0000 M82 821486 p6 p9 300 N 
